# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
7.087374782372734e-12  2.628532715842624e-05  6.649277779514463e-17
7.265041294232242e-12  2.651864189839870e-05  6.876462144054861e-17
7.447161555245048e-12  2.675402759466650e-05  7.111408665208777e-17
7.633847212121183e-12  2.699150262985839e-05  7.354382550819331e-17
7.825212710333443e-12  2.723108554913978e-05  7.605658070025661e-17
8.021375364277106e-12  2.747279506265521e-05  7.865518862858491e-17
8.222455429187904e-12  2.771665004663859e-05  8.134258260412914e-17
8.428576174863358e-12  2.796266954474547e-05  8.412179615961148e-17
8.639863961231634e-12  2.821087276982936e-05  8.699596647377614e-17
8.856448315815292e-12  2.846127910505203e-05  8.996833791264328e-17
9.078462013136357e-12  2.871390810565977e-05  9.304226569174848e-17
9.306041156112481e-12  2.896877950075982e-05  9.622121966351689e-17
9.539325259492959e-12  2.922591319398649e-05  9.950878823403175e-17
9.778457335386934e-12  2.948532926660974e-05  1.029086824136346e-16
1.002358398093499e-11  2.974704797709116e-05  1.064247400059126e-16
1.027485546817915e-11  3.001108976419253e-05  1.100609299398194e-16
1.053242583618508e-11  3.027747524853019e-05  1.138213567498007e-16
1.079645298547427e-11  3.054622523279704e-05  1.177102652090015e-16
1.106709877482279e-11  3.081736070509322e-05  1.217320451207647e-16
1.134452912048727e-11  3.109090283959226e-05  1.258912362738501e-16
1.162891409791758e-11  3.136687299853946e-05  1.301925335669471e-16
1.192042804601998e-11  3.164529273314010e-05  1.346407923082853e-16
1.221924967403317e-11  3.192618378689005e-05  1.392410336963060e-16
1.252556217108432e-11  3.220956809557585e-05  1.439984504876005e-16
1.283955331849060e-11  3.249546779016121e-05  1.489184128584929e-16
1.316141560487680e-11  3.278390519723118e-05  1.540064744669060e-16
1.349134634417778e-11  3.307490284276682e-05  1.592683787213287e-16
1.382954779659993e-11  3.336848345170118e-05  1.647100652639876e-16
1.417622729261400e-11  3.366466995124995e-05  1.703376766755134e-16
1.453159736005709e-11  3.396348547157757e-05  1.761575654086985e-16
1.489587585441997e-11  3.426495334868385e-05  1.821763009591453e-16
1.526928609240101e-11  3.456909712551415e-05  1.884006772809207e-16
1.565205698880803e-11  3.487594055417986e-05  1.948377204555803e-16
1.604442319689175e-11  3.518550759684658e-05  2.014946966232136e-16
1.644662525219708e-11  3.549782242950883e-05  2.083791201844666e-16
1.685890972002081e-11  3.581290944221216e-05  2.154987622828066e-16
1.728152934656569e-11  3.613079324105151e-05  2.228616595765978e-16
1.771474321388345e-11  3.645149865105779e-05  2.304761233108871e-16
1.815881689870189e-11  3.677505071775222e-05  2.383507486991413e-16
1.861402263523375e-11  3.710147470870062e-05  2.464944246255346e-16
